9.0 0.3 1
9.5 0.5 2.5
10.0 0.7 4.5 
10.5 1.1 7
11.0 1.45 10
11.5 1.7 13
12.00 2.0 15
12.25 2.35 16.5
12.5 2.35  17.5
12.75 2.4 17.5
13 2.4 17.5
13.25 2.35 17.5
13.5 2.3 18
14 2.2 16.5
14.5 2.0 15.5
15.0 1.65 12
15.5 1.3 9.5


#Dìa despejado, mayor sensaciòn tèrmica que las ùltimas semanas en la ciudad de Rosario
#Los datos corresponden al horario, UVA+UVB, y VIT D_3 medidas en frente del IFIR.
