,II,IV
2023-03-17,2107.2,1317.0
2023-03-27,1852.0,1157.5
2023-04-10,1660.9,1038.0
2023-04-27,1251.6,782.3
2023-05-03,1091.6,682.2
2023-05-15,1222.5,764.1
2023-07-10,105.2,65.8
2023-07-18,713.5,445.9
2023-08-01,1096.6,685.4
2023-08-02,976.3,610.2
2023-08-23,1323.2,827.0
2023-08-29,974.9,609.3
2023-09-13,1444.7,902.9
