,II,IV
2023-03-17,5756.5,3597.8
2023-03-27,5402.3,3376.5
2023-04-10,5017.7,3136.1
2023-04-27,3782.9,2364.3
2023-05-03,3263.1,2039.4
2023-05-15,3676.6,2297.9
2023-07-10,319.7,199.8
2023-07-18,2135.6,1334.7
2023-08-01,3298.1,2061.3
2023-08-02,2929.9,1831.2
2023-08-23,4811.8,3007.4
2023-08-29,2876.5,1797.8
2023-09-13,4337.3,2710.8
