Date,SZA,Ets,TUV,GCF
2023-01-01,,,65.28649225999999,
2023-01-15,,,64.68859114,
2023-02-15,,,60.913592721,
2023-03-17,,,53.129466396,
2023-03-27,,,49.7572937896,
2023-04-10,,,44.4033455813,
2023-04-27,,,38.816672713219994,
2023-05-03,,,36.79334366042,
2023-05-15,,,33.319295111894,
2023-07-10,,,29.678658712156,
2023-07-18,,,31.117565323947005,
2023-08-01,,,34.412294063340006,
2023-08-02,,,34.630104450169995,
2023-08-23,,,38.6473819901,
2023-08-29,,,66.67182134999999,
2023-09-13,,,48.7660874776,
2023-10-15,,,58.235459999999996,
2023-11-15,,,63.490278562,
2023-12-15,,,65.31308669,
